"Measure";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50"
"% White";"0.000000";"1.826484";"4.109589";"5.936073";"8.219178";"10.045662";"11.872146";"14.155252";"15.981735";"17.808220";"20.091324";"21.917809";"24.200912";"26.027397";"27.853882";"30.136986";"31.963470";"33.789955";"36.073059";"37.899544";"40.182648";"42.009132";"43.835617";"46.118721";"47.945206";"50.228310";"52.054794";"53.881279";"56.164383";"57.990868";"59.817352";"62.100456";"63.926941";"66.210045";"68.036530";"69.863014";"72.146118";"73.972603";"75.799088";"78.082191";"79.908676";"82.191780";"84.018265";"85.844749";"88.127853";"89.954338";"91.780823";"94.063927";"95.890411";"98.173515";"100.000000"
"X";"0.000000";"0.024264";"0.071957";"0.126061";"0.233396";"0.335312";"0.461848";"0.656468";"0.907447";"1.258694";"1.851698";"2.376111";"3.297700";"4.186628";"5.318952";"7.088595";"8.811888";"11.103693";"14.563419";"18.127588";"23.329664";"28.265068";"33.676136";"42.577927";"51.348209";"65.346153";"79.506828";"94.582611";"117.598900";"138.933075";"165.555893";"206.703903";"245.750549";"257.947632";"258.005493";"257.706299";"257.803314";"257.913147";"257.992584";"258.102417";"257.952301";"257.987640";"258.018005";"258.212250";"258.221039";"258.176910";"258.111206";"258.221039";"258.119049";"258.176910";"258.171967"
"Y";"0.000000";"0.023123";"0.072481";"0.127876";"0.237273";"0.345103";"0.476536";"0.677741";"0.932367";"1.288544";"1.910351";"2.464884";"3.416599";"4.338448";"5.530216";"7.311321";"9.172909";"11.420704";"15.045875";"18.732674";"24.086426";"29.204306";"34.972065";"44.122215";"53.052727";"67.651543";"82.459297";"98.019829";"121.906319";"143.932587";"171.513412";"214.263031";"254.499329";"267.396179";"267.485321";"267.073914";"267.239868";"267.342499";"267.415009";"267.517639";"267.419281";"267.432190";"267.462280";"267.620239";"267.666962";"267.607330";"267.564331";"267.666962";"267.518188";"267.607330";"267.624512"
"Z";"0.000000";"0.035656";"0.088348";"0.144618";"0.262941";"0.373279";"0.513807";"0.729505";"1.023874";"1.417212";"2.115635";"2.743063";"3.789076";"4.789602";"6.065580";"8.058942";"10.081189";"12.706395";"16.467587";"20.593868";"26.624233";"32.179932";"38.292854";"48.292320";"58.289936";"74.163597";"90.354355";"107.574654";"133.843185";"158.284531";"188.442581";"235.740280";"279.943329";"293.913300";"293.992920";"293.753082";"293.991119";"294.149506";"294.228821";"294.387207";"294.307953";"294.307922";"294.386993";"294.545624";"294.624969";"294.545654";"294.466583";"294.624969";"294.466034";"294.545654";"294.624725"
"R";"0.000000";"0.024394";"0.075357";"0.134273";"0.249636";"0.358277";"0.493139";"0.701010";"0.966696";"1.343308";"1.963144";"2.507154";"3.485635";"4.430198";"5.626781";"7.526018";"9.309750";"11.779254";"15.475905";"19.237423";"24.735262";"29.979485";"35.667912";"45.160789";"54.506496";"69.321205";"84.260590";"100.242256";"124.600815";"147.196426";"175.446518";"218.892914";"260.410034";"273.221100";"273.268524";"272.962006";"273.009216";"273.121124";"273.211609";"273.323517";"273.120880";"273.176941";"273.198364";"273.435425";"273.413788";"273.379364";"273.301880";"273.413788";"273.331909";"273.379364";"273.344696"
"G";"0.000000";"0.021764";"0.070586";"0.124947";"0.232096";"0.340196";"0.470512";"0.669410";"0.918327";"1.266115";"1.886929";"2.443602";"3.384126";"4.297430";"5.489130";"7.219910";"9.112146";"11.259172";"14.871993";"18.520563";"23.801805";"28.872063";"34.684517";"43.698643";"52.445377";"66.962326";"81.713547";"97.087769";"120.769684";"142.537201";"169.847900";"212.265366";"251.972244";"264.908569";"265.015350";"264.546021";"264.753326";"264.848480";"264.914032";"265.009186";"264.949036";"264.946350";"264.975952";"265.104340";"265.175232";"265.107025";"265.080078";"265.175232";"265.000214";"265.107025";"265.139343"
"B";"0.000000";"0.033033";"0.081408";"0.133010";"0.241706";"0.342850";"0.471864";"0.669916";"0.940801";"1.302358";"1.944262";"2.520945";"3.482027";"4.400953";"5.572154";"7.405293";"9.261388";"11.679090";"15.128779";"18.921659";"24.466120";"29.568745";"35.176964";"44.363918";"53.556198";"68.134537";"83.005585";"98.830582";"122.964577";"145.426956";"173.131180";"216.591476";"257.206482";"270.032257";"270.104462";"269.890808";"270.109711";"270.256470";"270.329498";"270.476288";"270.403168";"270.403229";"270.476959";"270.623077";"270.696014";"270.623016";"270.549225";"270.696014";"270.550812";"270.623016";"270.696716"
"ColorTemp";"5454.000000";"9232.000000";"6889.000000";"6362.000000";"6242.000000";"6216.000000";"6222.000000";"6217.000000";"6299.000000";"6269.000000";"6404.000000";"6501.000000";"6461.000000";"6431.000000";"6422.000000";"6368.000000";"6450.000000";"6402.000000";"6337.000000";"6371.000000";"6399.000000";"6385.000000";"6397.000000";"6371.000000";"6365.000000";"6371.000000";"6388.000000";"6390.000000";"6396.000000";"6401.000000";"6394.000000";"6411.000000";"6398.000000";"6404.000000";"6405.000000";"6406.000000";"6410.000000";"6411.000000";"6410.000000";"6411.000000";"6414.000000";"6413.000000";"6414.000000";"6411.000000";"6414.000000";"6413.000000";"6413.000000";"6414.000000";"6412.000000";"6413.000000";"6415.000000"
"DeltaE";"0.000000";"0.034207";"0.032958";"0.022775";"0.029107";"0.026446";"0.035944";"0.052732";"0.073730";"0.118027";"0.163434";"0.224327";"0.268838";"0.268942";"0.208615";"0.419840";"0.298594";"0.758526";"0.499213";"0.610260";"0.842750";"0.815506";"0.567043";"0.708808";"0.982137";"0.935709";"0.911779";"1.073322";"1.173963";"1.369093";"1.420950";"1.594876";"1.755577";"1.670328";"1.658617";"1.731684";"1.727369";"1.741076";"1.743714";"1.757470";"1.749244";"1.752019";"1.763342";"1.771293";"1.768366";"1.768513";"1.754431";"1.768366";"1.780176";"1.768513";"1.777252"
