"Color";"X";"Y";"Z";"R";"G";"B";"deltaE"
"Black";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Gray 35";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Gray 50";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Gray 65";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Gray 80";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"White";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Dark skin";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Light skin";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Blue sky";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Foliage";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Blue flower";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Bluish green";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Orange";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Purplish blue";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Moderate red";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Purple";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Yellow green";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Orange yellow";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Blue";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Green";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Red";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Yellow";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Magenta";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
"Cyan";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000";"-1.000000"
